alumno_id;codigo_clase;auton1;condeval1
303011217.0;9HR4DECQ;5;5
303011301.0;T4KP9VJ3;4;3
303011302.0;T4KP9VJ3;5;1
303011303.0;T4KP9VJ3;5;2
303011304.0;T4KP9VJ3;5;1
303011305.0;T4KP9VJ3;5;1
303011306.0;T4KP9VJ3;5;1
303011307.0;T4KP9VJ3;5;4
303011308.0;T4KP9VJ3;5;4
303011309.0;T4KP9VJ3;5;1
303011310.0;T4KP9VJ3;5;1
303011311.0;T4KP9VJ3;5;1
303011312.0;T4KP9VJ3;5;1
303011313.0;T4KP9VJ3;5;1
303011314.0;T4KP9VJ3;5;1
303011315.0;T4KP9VJ3;4;1
303011316.0;T4KP9VJ3;1;1
303011317.0;T4KP9VJ3;2;2
303011318.0;T4KP9VJ3;5;1
304010101.0;HVP2FK93;1;1
304010102.0;HVP2FK93;2;4
304010103.0;HVP2FK93;1;4
304010104.0;HVP2FK93;2;4
304010105.0;HVP2FK93;1;4
304010106.0;HVP2FK93;3;1
304010107.0;HVP2FK93;1;4
304010108.0;HVP2FK93;2;5
304010109.0;HVP2FK93;1;4
304010110.0;HVP2FK93;1;4
304010111.0;HVP2FK93;4;5
304010112.0;HVP2FK93;1;4
304010113.0;HVP2FK93;5;4
304010201.0;95JR8VLW;5;5
304010202.0;95JR8VLW;5;5
304010203.0;95JR8VLW;5;2
304010204.0;95JR8VLW;5;4
304010205.0;95JR8VLW;5;1
304010206.0;95JR8VLW;5;4
304010207.0;95JR8VLW;5;1
304010208.0;95JR8VLW;5;5
304010209.0;95JR8VLW;5;5
304010210.0;95JR8VLW;5;4
304010301.0;AKQCJV5C;4;3
304010302.0;AKQCJV5C;4;3
304010303.0;AKQCJV5C;5;3
304010304.0;AKQCJV5C;5;3
304010305.0;AKQCJV5C;3;3
304010306.0;AKQCJV5C;4;3
304010307.0;AKQCJV5C;5;1
304010308.0;AKQCJV5C;5;3
304010309.0;AKQCJV5C;4;3
304010401.0;66Q9XJPK;5;3
304010402.0;66Q9XJPK;5;4
304010403.0;66Q9XJPK;5;3
304010404.0;66Q9XJPK;4;4
304010405.0;66Q9XJPK;1;1
304010406.0;66Q9XJPK;5;1
304010407.0;66Q9XJPK;3;5
304010408.0;66Q9XJPK;4;3
304010409.0;66Q9XJPK;5;5
304010410.0;66Q9XJPK;2;5
304010411.0;66Q9XJPK;3;3
304010412.0;66Q9XJPK;4;3
304010413.0;66Q9XJPK;4;1
304010414.0;66Q9XJPK;1;2
304010415.0;66Q9XJPK;5;3
304010501.0;UR54UJ6T;2;3
304010502.0;UR54UJ6T;5;1
304010503.0;UR54UJ6T;5;4
304010504.0;UR54UJ6T;4;3
304010505.0;UR54UJ6T;4;4
304010506.0;UR54UJ6T;1;3
